,content,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,segments,answers,poststrat
5ff529c87bee69002bf85e26,Moments That You Love,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,"Its just another video commercial.
",1.2716499363778184
5ff529cc4c8da700323ffd24,AWESOME camera 15s,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,wrong message,0.22746671088362372
5ff529cd7bee69002bf85e27,Meet Millie Bobby Brown,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,i pove millie bobby brown ,1.4890435501410406
5ff529ef4c8da700323ffd26,Meet Millie Bobby Brown,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,Looks good ,1.3464878520687265
5ff52a2f4c8da700323ffd27,Moments That You Love,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,IT WAS NICE IM A GUY WHAT ELSE DO YOU WANT!!,0.7202691925893884
5ff52a6293507f0025fce4e9,Moments That You Love,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,Very boring. Not relevant.,0.22746671088362372
5ff52ae5c1a2e600253d921a,Live Focus How To,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True,"Not very much, just not in to that stuff",0.8579231343644844
5ff52b42ce03ef0023bdea49,Moments That You Love,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,True,False,False,Thought in was a very good ad.  I am looking to upgrade my LG phone. But I have a limited income.  So would not probably able to a ford such a phone.,0.7202691925893884
5ff52b6c32799e001dba6fcc,Meet Millie Bobby Brown,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,not interesting,0.22746671088362372
5ff52b6cc1a2e600253d921c,Meet Millie Bobby Brown,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,I liked the video it caught my attention,0.7015294154421093
5ff52bf64c8da700323ffd2a,Meet Millie Bobby Brown,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,False,it is a video,0.22746671088362372
5ff52c472031f800272315f4,Meet Millie Bobby Brown,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,Not sure what it was really about.,0.7202691925893884
5ff52c7cc1a2e600253d921e,AWESOME camera 15s,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False,False,True,Would cause me to consider when I make my nest smart phone purchase in 3 - 4 years.,0.22746671088362372
5ff52ca6c1a2e600253d921f,AWESOME screen 15s,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,False,it sucked,0.7202691925893884
5ff52cef751711001d73847d,AWESOME camera 15s,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,It was OK ,1.3464878520687265
5ff52d62ccae8e0032e4c554,AWESOME screen 15s,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,It was ok,0.7202691925893884
5ff52df7ccae8e0032e4c556,AWESOME is for Everyone,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,It’s interesting and somewhat different ,1.16212353334517
5ff52e4d7bee69002bf85e31,AWESOME screen 15s,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,True,False,False,"Hip Hop and/or Rap are not my nor many peoples' vibe who are over 40 or so.
Phone feature not really shown.
Why Samsung?  Why Galaxy?  Why A51?
if my team had made that video I would have them check their audience and target demographic - and then likely hire a new team!",0.22746671088362372
5ff52ea92031f800272315fe,AWESOME screen 15s,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,"I buy Samsung products but not their smartphone 
If you were selling me a TV then you would have my attention ",0.22746671088362372
5ff52ebc32799e001dba6fd3,AWESOME is for Everyone,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,no do not care,0.26719466559585353
5ff52ec24c8da700323ffd33,AWESOME is for Everyone,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,not good,0.8579231343644844
5ff52ee3751711001d73847e,AWESOME is for Everyone,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,True,False,False,stupid,0.22746671088362372
5ff52f2f93507f0025fce4f6,AWESOME screen 15s,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,It took me awhile to figure out why he was swapping,1.7214885686975316
5ff52f8e751711001d73847f,AWESOME is for Everyone,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,False,didn't seem like it was about anything.,0.26719466559585353
5ff52fb732799e001dba6fd5,AWESOME is for Everyone,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,True,False,False,just another ad,0.22746671088362372
5ff5306c32799e001dba6fd7,AWESOME camera 15s,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,Video was pretty much a video inside of a video and it made me wonder if we do have aliens with our phones. And it also made me wonder what cellphone carrier they would use.,1.4890435501410406
5ff5309332799e001dba6fd8,AWESOME is for Everyone,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,it sucked,1.3497646992479817
5ff530c693507f0025fce4fa,Moments That You Love,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,Fun video ,1.2716499363778184
5ff530cc7bee69002bf85e38,#danceAwesome with BLACKPINK,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,"at first I did not have any idea what was being advertised, the at the end I knew it was a  phone",0.22746671088362372
5ff530f261b2a10023202443,AWESOME is for Everyone,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,DIDN'T KNOW WHAT TO LOOK AT -- BOUNCING ALL OVER THE PLACE. vERY CONFUSING. aND IS a THE NEW PHONE OR A MOCK UP OR PROTOTYPE. dIDN'T GET WHAT WAS GOINGON... IS HTIS THE NEW PHONE LAUNCH? ,0.22746671088362372
5ff530fd93507f0025fce4fc,Moments That You Love,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,Beautiful.,0.22746671088362372
5ff531484c8da700323ffd36,#danceAwesome with BLACKPINK,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,lots of energy oh the young so lucky,0.569949708359613
5ff5317cce03ef0023bdea5a,AWESOME is for Everyone,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,This was an AWESOME video. ,1.753124170552237
5ff5318ece03ef0023bdea5b,Live Focus How To,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,nicely done and learned the pics can be adjusted simply  with it - I liked that very much,0.22746671088362372
5ff53196ccae8e0032e4c55b,Live Focus How To,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,Nothing comes to mind,0.569949708359613
5ff531972031f80027231604,Live Focus How To,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,Didn't understand the point of it.,0.22746671088362372
5ff531a0751711001d738486,Moments That You Love,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,i don't take alot of photo's so it's not that important to me,0.8579231343644844
5ff531a9ccae8e0032e4c55c,Live Focus How To,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,The flower was pretty and the beat was okay.  I just never figured out why I was being shown the video.,0.22746671088362372
5ff531ab2031f80027231605,AWESOME camera 15s,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,I have no reaction to the video as I do not own a smartphone.,0.22746671088362372
5ff531baccae8e0032e4c55e,AWESOME camera 15s,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,Thank u,0.9242663137914371
5ff531be2031f80027231606,AWESOME camera 15s,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,This is not cute.,0.7202691925893884
5ff531c0ccae8e0032e4c55f,AWESOME is for Everyone,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,"It was colorful, fun and appeared to be directed to a younger population. It didn’t apply to my husband or myself as all electronic devices are Apple ",2.301041743410815
5ff531e37bee69002bf85e3e,#danceAwesome with BLACKPINK,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False,I like it.,1.5967779519269516
5ff531e5ccae8e0032e4c560,AWESOME camera 15s,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,Silly,0.7202691925893884
5ff5320893507f0025fce4fe,#danceAwesome with BLACKPINK,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,True,False,False,Annoying as it was really hard to undersand what was going on.,0.7202691925893884
5ff5321593507f0025fce4ff,AWESOME camera 15s,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,True,False,I really liked the ad! Well the product being shown in the ad is what I really liked more. It definitely caught my attention. So overall I thought the ad was inspiring.,1.3257400053182984
5ff53224ce03ef0023bdea5e,Moments That You Love,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,Impressed by the video but more impressed by the macro camera capabilities ,0.22746671088362372
5ff5327661b2a1002320244a,AWESOME camera 15s,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,It is all obvious  that male dominate this area which is unfair being that you are try to sell to both sex.,0.569949708359613
5ff532774c8da700323ffd37,AWESOME camera 15s,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,"Not in the market for a new phone, so neutral about it.",0.8579231343644844
5ff53278c1a2e600253d922c,AWESOME camera 15s,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,"its an ad , like thousands of others , trying to sell something",1.2411031058117736
5ff5328c751711001d73848a,AWESOME screen 15s,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,It was a great video that kept my attention ,1.2716499363778184
5ff5328c7bee69002bf85e43,AWESOME camera 15s,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,"The ""alien"" in the passenger seat was cute. The music was contemporary but not obtrusive as some of it is. I saw it was about Samsung Galaxy phones and presented what looked like the newest line.",0.569949708359613
5ff5329061b2a1002320244b,AWESOME screen 15s,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,False,What was selling in the video?,0.22746671088362372
5ff532ac93507f0025fce501,AWESOME camera 15s,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,True,False,False,Too short and nothing that interested me.,0.7202691925893884
5ff532b62031f80027231609,AWESOME camera 15s,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False,it is all about sales,1.2411031058117736
5ff532c82031f8002723160a,AWESOME camera 15s,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,Wasn't interesting ,1.4890435501410406
5ff532e332799e001dba6fe4,Meet Millie Bobby Brown,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,It did nothing to reach me as a 53 year old.  Spoke of nothing but youth...and I really did not understand what it was trying to say.,0.7202691925893884
5ff5331a4c8da700323ffd39,AWESOME screen 15s,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,I like how they advertised the Samsung Galaxy A51. Although I wish they had the video a little bigger as it was kinda small on my screen ,0.7202691925893884
5ff533547bee69002bf85e47,AWESOME screen 15s,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,Pretty cool,1.3464878520687265
5ff53434ccae8e0032e4c566,Meet Millie Bobby Brown,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,I like that she stated who she was and what position she holds. I was confused as to weather the advertisement was promoting a certain product or not. ,1.3257400053182984
5ff53446751711001d73848c,Meet Millie Bobby Brown,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,"As Ms Brown is now one of the most recognizable young actors on television and in movies, it is a wise move to choose her to be the face of Unicef. Unfortunately, I didn't know anything about this current campaign until I watched the video as part of this survey.",0.7202691925893884
5ff5367261b2a10023202453,Live Focus How To,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,I have no idea ot the message it was trying to promote ,0.22746671088362372
5ff536c3ce03ef0023bdea66,Moments That You Love,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,I have never used anything but a landline phone. I have no idea what the info in the video even means,0.7015294154421093
5ff536f832799e001dba6fee,AWESOME is for Everyone,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,It seems to appeal to young people more than us older ones.,0.7202691925893884
5ff537492031f80027231617,Live Focus How To,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,It was cool and the sound on the speaker was nice,1.16212353334517
5ff5376761b2a10023202456,AWESOME screen 15s,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,"It was quick and a bit small to see well, but I found it interesting as an ad for the Samsung phone",1.3464878520687265
5ff537d832799e001dba6ff1,AWESOME screen 15s,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,Very limited target audience. Actually turned me off to the brand,1.753124170552237
5ff537e5ccae8e0032e4c56e,AWESOME screen 15s,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,True,Dumb ad. Rapper with fat white guy. Stupid.,2.301041743410815
5ff537eac1a2e600253d923d,Live Focus How To,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,"I use by smart phone for calls, weather, mapping, business apps, text message,...
Rarely use camera and when I do it is to document a situation in the field. Don't do ""artiste"" stuff",0.7202691925893884
5ff538427bee69002bf85e52,AWESOME screen 15s,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,None at this time,0.22746671088362372
5ff53864751711001d738491,AWESOME screen 15s,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,I love sumsung . Sumsung is a very good brand . I use it lots ,1.5967779519269516
